timestamp,hour,day_of_week,month,temperature,cloud_cover,solar_generation,residential_demand,commercial_demand,hospital_demand,school_demand,total_demand,battery_level
2026-01-01 00:00:00,0,3,1,2.91,0.469,0.0,14.07,10.05,61.58,4.89,90.59,151.53
2026-01-01 01:00:00,1,3,1,1.64,0.579,0.0,12.11,15.01,65.03,5.95,98.1,44.9
2026-01-01 02:00:00,2,3,1,2.09,0.544,0.0,14.67,12.74,60.0,6.17,93.58,0.0
2026-01-01 03:00:00,3,3,1,1.51,0.482,0.0,13.2,13.3,57.87,4.77,89.14,0.0
2026-01-01 04:00:00,4,3,1,1.3,0.503,0.0,12.33,12.88,64.14,5.75,95.1,0.0
2026-01-01 05:00:00,5,3,1,1.6,0.511,0.0,16.9,8.41,63.11,4.82,93.24,0.0
2026-01-01 06:00:00,6,3,1,1.93,0.552,0.0,19.32,13.75,61.3,3.62,97.99,0.0
2026-01-01 07:00:00,7,3,1,2.63,0.562,52.79,30.69,9.23,61.72,6.58,108.22,0.0
2026-01-01 08:00:00,8,3,1,3.86,0.547,99.17,27.11,14.69,58.64,29.17,129.61,0.0
2026-01-01 09:00:00,9,3,1,4.97,0.419,160.46,18.6,42.61,60.2,49.95,171.36,0.0
2026-01-01 10:00:00,10,3,1,5.85,0.41,207.3,12.79,65.26,58.03,63.74,199.82,6.88
2026-01-01 11:00:00,11,3,1,6.86,0.423,225.82,11.11,83.38,57.36,71.16,223.01,9.47
2026-01-01 12:00:00,12,3,1,8.13,0.378,245.02,7.79,99.53,57.56,72.39,237.27,16.6
2026-01-01 13:00:00,13,3,1,8.81,0.442,219.81,9.82,107.63,54.81,68.43,240.69,0.0
2026-01-01 14:00:00,14,3,1,9.57,0.37,209.33,8.76,118.83,56.97,57.35,241.91,0.0
2026-01-01 15:00:00,15,3,1,9.22,0.323,184.94,11.18,115.62,56.41,43.63,226.84,0.0
2026-01-01 16:00:00,16,3,1,9.52,0.33,133.37,14.27,110.99,54.75,25.06,205.07,0.0
2026-01-01 17:00:00,17,3,1,8.94,0.384,64.42,12.76,100.62,52.14,5.83,171.35,0.0
2026-01-01 18:00:00,18,3,1,8.67,0.418,3.24,22.51,84.14,55.41,5.46,167.52,0.0
